Date,fix,kix,sp5
2006-12-01,614.3398,5553.08,112.206764
2006-12-04,613.989,5490.2,113.062981
2006-12-05,613.6768,5417.5,113.55114
2006-12-06,610.6845,5429.02,113.455116
2006-12-07,610.6445,5481.28,112.959
2006-12-08,608.3897,5477.86,113.167007
2006-12-11,612.1963,5516.98,113.49514
2006-12-12,614.0182,5516.98,113.407127
2006-12-13,613.5006,5525.38,113.527122
2006-12-14,615.7602,5582.42,114.527367
2006-12-15,613.0740000000001,5589.64,114.537865
2006-12-18,612.7687,5624.84,114.224052
2006-12-19,614.8429,5572.1,114.441315
2006-12-20,615.7924,5525.4,114.376953
2006-12-21,615.7363,5509.97,113.958473
2006-12-22,614.9684,5487.73,113.25843
2006-12-27,620.8907,5522.81,114.674644
2006-12-28,622.5545,5560.44,114.43325
2006-12-29,621.4449,5645.65,113.958473
2007-01-03,624.624,5714.18,113.757355
2007-01-04,620.7232,5811.58,113.998749
2007-01-05,614.5279,5895.68,113.089493
2007-01-08,614.8188,5962.46,113.61248
2007-01-09,616.4423,6026.51,113.515953
2007-01-10,614.914,6085.59,113.894112
2007-01-11,621.3584,6117.35,114.393036
2007-01-12,625.6214,6161.46,115.262115
2007-01-16,627.0646,6066.66,115.036781
2007-01-17,627.8899,6041.42,115.085052
2007-01-18,631.1103,6030.83,114.69883
2007-01-19,630.9464,6025.41,114.92408799999998
2007-01-22,630.6044,6027.17,114.57003
2007-01-23,631.9334,6060.21,114.908005
2007-01-24,629.2698,6016.47,115.83342
2007-01-25,628.3448,6010.17,114.473503
2007-01-26,626.999,5961.61,114.368874
2007-01-29,629.8672,5961.61,114.304497
2007-01-30,628.6569999999999,5870.68,114.899918
2007-01-31,625.9669,5774.27,115.672493
2007-02-01,628.4683,5739.05,116.36451
2007-02-02,629.945,5663.65,116.525398
2007-02-05,626.462,5633.61,116.557617
2007-02-06,626.8113,5628.88,116.589813
2007-02-07,628.5918,5649.99,116.847336
2007-02-08,628.2367,5710.21,116.694397
2007-02-09,627.7009,5817.04,115.825363
2007-02-12,628.0276,5895.18,115.431053
2007-02-13,628.8691,6016.47,116.404739
2007-02-15,626.895,5773.29,117.32209
2007-02-16,626.8103,5798.73,117.265724
2007-02-20,629.8674,5771.39,117.515205
2007-02-21,631.5817,5816.77,117.466843
2007-02-22,633.7668,5763.85,117.378418
2007-02-23,632.7619,5732.67,116.919701
2007-02-26,632.1234,5665.79,116.815102
2007-02-27,614.9583,5534.2,112.252579
2007-02-28,609.0201,5387.28,113.403259
2007-03-01,603.4618,5237.68,113.06531499999998
2007-03-02,599.1934,5245.62,111.584732
2007-03-05,593.1073,5292.14,110.52256
2007-03-06,594.4538,5252.46,112.413544
2007-03-07,595.8484,5254.52,112.30085
2007-03-08,598.4918,5256.53,113.25042
2007-03-09,599.7288,5268.99,113.282578
2007-03-12,601.1030000000001,5239.01,113.451546
2007-03-13,597.839,5250.04,111.24675
2007-03-14,593.8804,5241.25,112.075569
2007-03-15,596.8153,5200.75,112.228462
2007-03-16,596.5371,5171.13,111.914192
2007-03-19,599.7105,5103.83,113.26331299999998
2007-03-20,600.4255,4961.89,113.885353
2007-03-21,603.0809,4809.72,115.759628
2007-03-22,603.7837,4637.31,115.670769
2007-03-26,603.4915,4489.76,115.686913
2007-03-27,602.3457,4614.4,115.412315
2007-03-28,598.5712,4791.22,114.57206
2007-03-29,603.2336,4978.93,114.693199
2007-03-30,602.8365,5133.67,114.717506
2007-04-02,606.0488,5154.76,114.846756
2007-04-03,608.7603,5183.11,116.082771
2007-04-04,609.305,5216.68,116.212074
2007-04-05,609.9046,5215.2,116.5271
2007-04-10,613.3994,5227.81,116.826019
2007-04-11,612.7797,5218.64,116.349403
2007-04-12,613.7076,5228.75,116.866417
2007-04-13,619.4734,5242.88,117.399643
2007-04-16,620.7999,5228.88,118.514465
2007-04-17,621.0027,5185.67,118.829544
2007-04-19,618.268,5092.07,118.942703
2007-04-20,622.9424,5099.0,120.065582
2007-04-23,619.8694,5105.41,119.613197
2007-04-24,616.7453,5178.07,119.661659
2007-04-25,620.6379,5173.33,120.76033
2007-04-26,620.2811,5211.27,120.897675
2007-04-30,617.8066,5199.44,119.798973
2007-05-02,621.6981,5151.46,120.808823
2007-05-03,622.2951,5169.53,121.463173
2007-05-04,623.25,5116.02,121.923683
2007-05-07,625.7277,5091.12,121.947899
2007-05-08,623.4264,5101.43,121.786377
2007-05-09,623.9861,5067.74,122.117577
2007-05-10,620.0115,5071.33,120.841194
2007-05-11,622.5437,5114.17,121.875229
2007-05-14,625.5867,5181.77,121.608589
2007-05-15,629.6657,5169.28,121.640976
2007-05-16,629.1248,5179.21,122.473038
2007-05-17,629.2912,5175.11,122.230675
2007-05-18,630.98,5167.34,123.297089
2007-05-21,633.3828,5191.53,123.232468
2007-05-22,632.5728,5154.41,123.135452
2007-05-23,635.7465,5108.69,123.151649
2007-05-25,630.9473,5134.51,122.545753
2007-05-29,632.6045,5048.23,122.99008899999998
2007-05-30,633.5794,5051.21,123.991852
2007-05-31,640.5409,5001.77,123.862633
2007-06-01,649.5634,5001.77,124.476532
2007-06-04,649.3344,5043.35,124.492729
2007-06-05,650.3436,5063.98,123.999878
2007-06-06,641.6352,5065.62,122.666946
2007-06-07,644.4683,5054.35,120.453392
2007-06-08,647.5325,5068.68,122.020622
2007-06-11,648.5578,5064.57,122.230675
2007-06-12,652.738,5074.08,120.897675
2007-06-13,655.2817,5089.22,122.707336
2007-06-14,657.8364,5096.68,123.490913
2007-06-15,662.5655,5137.45,124.193588
2007-06-18,662.2567,5163.47,124.047592
2007-06-19,659.0291,5141.52,124.35585
2007-06-20,659.1988,5147.85,122.62767
2007-06-21,659.6987,5144.93,123.309204
2007-06-22,656.0932,5124.14,122.149017
2007-06-25,650.1659,5052.08,121.56481200000002
2007-06-26,646.8866,5080.55,120.315292
2007-06-27,640.3368,5093.51,122.027298
2007-06-28,650.2293,5163.88,122.011108
2007-06-29,652.5914,5146.73,122.051613
2007-07-02,652.5568,5144.2,123.155052
2007-07-03,656.0241,5127.16,123.601341
2007-07-05,662.4577,5165.06,123.471504
2007-07-06,669.1889,5160.89,124.120621
2007-07-09,670.2214,5136.53,124.217941
2007-07-10,660.1062,5120.4,122.449211
2007-07-11,658.5651,5112.62,123.317337
2007-07-12,666.6078,5095.68,125.264595
2007-07-13,669.5367,5117.37,125.637817
2007-07-16,665.5482,5121.08,125.62159
2007-07-17,667.5824,5104.13,125.556656
2007-07-18,660.8985,5123.23,125.329491
2007-07-19,663.9075,5131.99,125.816307
2007-07-20,655.8954,5137.51,124.542473
2007-07-23,657.9218,5154.42,124.92382
2007-07-24,653.6117,5193.14,122.757507
2007-07-25,646.4652,5230.04,123.009026
2007-07-26,626.7015,5296.22,120.096291
2007-07-27,615.4082,5317.73,117.735222
2007-07-30,614.3641,5329.56,119.576988
2007-07-31,618.6292,5340.08,118.230148
2007-08-01,612.0871,5321.19,118.806229
2007-08-02,617.1759,5310.05,119.755493
2007-08-03,614.8939,5320.42,116.672348
2007-08-06,611.8567,5277.38,118.627762
2007-08-07,611.5252,5263.46,119.893417
2007-08-08,619.0401,5256.44,121.56481200000002
2007-08-09,607.2324,5246.57,117.96241
2007-08-10,600.7056,5240.83,117.410713
2007-08-13,601.9215,5256.76,117.832596
2007-08-14,595.5193,5227.08,116.031387
2007-08-15,591.3873,5184.29,114.433029
2007-08-16,582.9648,5120.53,115.293022
2007-08-17,583.8459,5171.3,117.410713
2007-08-20,584.9317,5126.68,117.353912
2007-08-21,583.6649,5156.33,117.589195
2007-08-22,585.0188,5165.41,118.984734
